Comunidad,2020-01-I,2020-01-II,2020-02-I,2020-02-II,2020-03-I,2020-03-II,2020-04-I,2020-04-II,2020-05-I,2020-05-II,2020-06-I,2020-06-II,2020-07-I,2020-07-II,2020-08-I,2020-08-II,2020-09-I,2020-09-II,2020-10-I,2020-10-II,2020-11-I,2020-11-II,2020-12-I,2020-12-II,2021-01-I,2021-01-II,2021-02-I,2021-02-II,2021-03-I,2021-03-II,2021-04-I,2021-04-II,2021-05-I,2021-05-II,2021-06-I,2021-06-II,2021-07-I,2021-07-II,2021-08-I,2021-08-II,2021-09-I,2021-09-II,2021-10-I,2021-10-II,2021-11-I,2021-11-II,2021-12-I,2021-12-II,2022-01-I,2022-01-II,2022-02-I,2022-02-II,2022-03-I,2022-03-II,2022-04-I,2022-04-II,2022-05-I,2022-05-II,2022-06-I,2022-06-II,2022-07-I,2022-07-II,2022-08-I,2022-08-II,2022-09-I,2022-09-II,2022-10-I,2022-10-II,2022-11-I,2022-11-II,2022-12-I
Andalucía,0,0,0,"0,035425780686786","2,71597651932022","38,023671270483","23,5109097824633","5,88067959400638","1,88937496996189","0,614046865237614","0,271597651932022","0,460535148928211","0,77936717510928","1,81852340858832","7,56930847340982","21,9521754322447","39,0746360975243","44,8962727237194","63,3531044615346","143,805052401224","139,18789231838","73,7210496092005","34,8825853829214","39,7949603048223","123,199056635077","224,96551595465","108,013205314009","32,2138432378502","25,1404956940554","32,5444838575936","43,4083899348744","38,2126087674792","23,5935699373991","18,5276832991888","16,3667106772949","14,0640349326538","30,1591479580167","73,0125339954648","70,9224129349444","48,8403429735149","21,3145113798826","11,1709295098997","7,65196862834566","9,19889438500195","12,6588122987447","25,7663511528553","46,72660472587","185,146938462703","261,206089597231","231,460242413894","129,091544822646","59,6097803022976","67,9938817315035","91,9889438500195","84,750275996353","152,531603043736","158,990903722293","122,041814465976","72,0442293233593","113,787607565955","122,32522071147","67,2617489306433","39,8540032726336","32,0721401151031","20,9484449794525","24,219425396199","27,0416792575796","27,7974292455643","19,4487535970452","16,7445856712873","13,6153083772879"
Aragón,0,0,0,"0,075311072384484","7,45579616606393","104,833012759202","82,0137578267032","32,7603164872506","9,56450619282948","4,51866434306905","3,16306504014833","3,08775396776385","9,11263975852258","75,762938818791","134,806819568227","84,8002675049291","100,163726271364","82,3150021162411","110,782587477576","270,592683077451","220,284886724616","97,377216593138","77,6457156284031","71,093652330953","146,480035787822","193,775389245278","119,970538308483","43,6051109106163","36,7518033236282","38,8605133503938","56,0314378540562","56,93517072267","40,8939123047749","20,1080563266573","10,6188612062123","7,53110723844841","49,3287524118371","117,786517209333","72,5245627062582","45,111332358306","31,4047171843299","25,9070089002625","16,2671916350486","19,2796345304279","36,9024254683972","94,0635294082207","147,082524366897","378,212205514879","911,866464431334","702,576994274852","348,614954067777","135,635241364456","140,90701643137","132,84873168623","128,028823053623","228,41848254214","264,718419431462","217,724310263544","181,574995518991","314,800282567144","385,818623825712","172,462355760469","50,5337295699888","27,0366749860298","41,1951565943128","68,2318315803426","83,6706014191619","93,9882183358362","52,9436838862923","33,287493993942","29,8984957366402"
Cantabria,0,0,0,0,"3,25506333667977","100,564325191106","64,0733519956965","30,6661230139831","5,9961693044101","3,59770158264606","1,54187210684831","1,02791473789887",0,"2,39846772176404","19,7016991430617","39,9173556550729","66,8144579634268","40,0886747780561","32,5506333667977","104,675984142702","150,075551733236","106,903132741483","87,5440718443874","46,0848440824662","94,2255176407301","110,672153447112","64,5873093646459","28,0963361692359","23,9846772176404","28,6102935381853","38,3754835482246","50,3678221570448","25,6978684474718","10,621785624955","7,36672228827526","12,5062959777696","47,1127588203651","87,7153909673705","78,6354774492638","46,2561632054493","27,5823788002864","19,3590608970955","14,0481680846179","12,5062959777696","23,1280816027247","50,3678221570448","93,0262837798481","276,68038361778","730,162102154167","668,658537003217","283,875786783072","113,584578537826","91,9983690419492","134,656830664752","174,231548073859","383,754835482246","436,521125361055","304,605400664033","181,598270362134","329,446673496589","596,019228858364","206,782181440657","113,070621168876","71,6113934069549","36,49097319541","53,6228854937246","71,6113934069549","71,2687551609886","55,5073958465392","78,2928392032976","89,0859439512357"
Ceuta,0,0,0,0,"1,19247073974922","13,1171781372415","8,34729517824456",0,"2,38494147949845","8,34729517824456","5,96235369874612",0,0,0,"2,38494147949845","27,4268270142321","26,2343562744829","45,3138881104705","59,6235369874612","168,138374304641","171,715786523888","41,7364758912228","31,0042392334798","21,464473315486","93,0127177004394","104,937425097932","64,3934199464581","41,7364758912228","26,2343562744829","53,6611832887151","67,9708321657057","32,196709973229","3,57741221924767","3,57741221924767","2,38494147949845","1,19247073974922","2,38494147949845","26,2343562744829","62,0084784669596","64,3934199464581","27,4268270142321","21,464473315486","7,15482443849534","2,38494147949845","5,96235369874612","9,53976591799379","29,8117684937306","109,707308056929","389,937931897996","404,247580774987","110,899778796678","53,6611832887151","53,6611832887151","98,9750713991855","91,8202469606902","212,259791675362","385,168048938999","221,799557593356","168,138374304641","206,297437976616","392,322873377494","150,251313208402","93,0127177004394","39,3515344117244","3,57741221924767","9,53976591799379","8,34729517824456","22,6569440552352","42,928946630972","48,8913003297182","46,5063588502197"
Castilla León,0,0,0,"0,083716037711564","7,15772122433868","179,654616929015","196,272250414761","80,1162480899663","21,1382995221698","12,9759858452923","7,36701131861759","4,89738820612647","1,79989481079862","5,44154245125163","20,1755650884868","57,0943377192863","95,0595608214804","133,234074017953","142,69398627936","291,792249443655","285,597262652999","151,52602825793","71,3260641302521","56,2571773421707","214,020050409612","408,617980070142","128,378543830683","38,3000872530403","30,305205651586","37,0024886685111","49,4343202686783","47,6762834767354","30,2214896138744","17,8733740514188","10,8830849025033","7,95302358259853","65,2985094150195","120,258088172661","72,8329528090602","63,1637504533747","30,9749339532785","13,3108499961386","11,1342330156379","23,7334966912283","31,267940085269","92,7573697844124","149,893565522554","404,306604127996","804,552980426981","654,82684697985","335,073440940533","138,382610337214","170,027272592185","237,167534836859","317,367498964537","478,604587597009","451,145727227616","296,019909348089","234,656053705512","390,451599886732","520,588180509358","236,623380591734","113,351515061457","91,7109193130178","79,404661769418","89,4505862948056","127,122803265009","123,732303737691","85,3903584657948","68,5215768669147","55,7130230970455"
Castilla La Mancha,0,0,0,0,"13,0898267380713","204,797177286318","162,108712476339","57,6831543942622","56,4620884672033","17,1437656159069","9,23125840856524","8,44977621524755","8,01019248150635","7,22871028818865","16,6553392450833","48,0123122519557","98,0760152613704","113,803344401889","97,9783299872057","176,614975689798","142,815870828808","89,235497949464","83,8139652333225","120,299415133842","282,310442336016","380,923726605293","102,911436332524","20,8069633970836","17,436821438401","29,2078969752488","41,9069826166612","49,8194898240029","32,3338257485195","18,950943187954","10,3057964243771","8,01019248150635","18,8532579137893","74,9246052843338","75,510716929322","68,0377934557216","31,3569730068724","12,0641313593419","9,03588786023582","13,0898267380713","17,436821438401","39,122952302967","51,0405557510618","281,333589594369","530,577566625631","407,2010653556","195,663604151917","73,9477525426866","86,5491529099344","109,798248161136","97,3433757051351","269,025245049616","335,25586093329","288,025030874652","261,015052568109","433,087663009249","420,925846375742","223,601592563025","119,127191843866","90,4565638765229","65,7421895128509","76,1456712113926","77,3667371384515","64,2280677632978","45,3259672124262","40,4417035041906","34,2875312318138"
Canarias,0,0,0,"0,229943415524308","1,42564917625071","26,9953569825537","10,2094876492793","2,57536625387225","1,14971707762154","0,551864197258339","0,137966049314585","0,045988683104862","0,275932098629169","0,87378497899237","4,41491357806671","24,9718549259398","28,9728703560628","20,1890318830342","16,8778466994842","16,0500504035967","18,1655298264203","16,4179598684356","31,7321913423545","29,4787458702163","30,3985195323135","34,0776141807024","22,9023641862211","15,268242790814","22,258522622753","24,0060925807377","23,0863189186405","15,9120843542821","9,47366871960148","8,78383847302856","6,43841563468062","11,1292613113765","21,8906131579141","54,4965894792609","44,83896602724","23,1782962848502","15,268242790814","10,5314084310133","6,85231378262437","12,8308425862564","21,0628168620266","41,5737695267949","57,1639330993429","235,278102764472","400,1475316954","253,903519421941","112,580296240701","114,925719079049","157,051352803102","261,537640817348","188,277668631303","181,655298264203","197,107495787437","222,217316762691","240,198891856692","313,366886676527","400,699395892659","185,380381595697","99,6114876051301","62,0847221915631","45,5287962738129","52,9789629368005","56,3821254865603","57,6238199303915","67,0514999668881","68,9370359741875","61,118959846361"
Cataluña,0,0,0,0,"9,22551896921745","148,830652603819","112,533317858823","68,8761548706012","13,0598350819466","14,9641263057181","5,88014249502424","4,51625824016085","13,0598350819466","28,3713658676771","29,2077099862254","34,8176489967956","34,7790484990164","37,8542214887556","69,0691573594969","175,696599058109","123,135587915497","71,5781897151418","65,7495145504898","113,369661977371","158,596578541945","147,86564015934","79,0152189539252","41,6499371037056","41,4569346148098","57,7334778450191","60,6671156762347","54,7998400138035","30,7903303951707","17,0742868509785","12,4679607826663","15,4015986138819","84,9982961096939","141,95976399913","70,0727703017549","45,4327858860625","25,1803913846005","17,3830908332117","17,2801561724673","15,7104025961151","28,4357000306424","66,8946626512713","132,412574215086","337,419817920165","561,572908523704","639,880451685011","272,223577171177","115,634224513748","140,698814405011","122,003306647308","104,530147985945","137,86811123454","187,392549885192","193,903167177276","183,583967437649","326,302874559769","279,750674238111","108,210062107558","48,3921573824642","36,1429327538798","27,9853608898856","31,0991343774039","45,8316576964471","50,2063807780844","55,7262519605032","64,7459016082318","45,8831250268193"
Principado de Asturias,0,0,0,"0,098494220359149","3,34880349221108","56,6341767065109","48,163673755624","12,2132833245345","3,34880349221108","2,46235550897873","0,295482661077448",0,"0,098494220359149","1,47741330538724","4,23525147544342","11,4253295616613","20,0928209532665","34,0790002442657","70,1278848957143","176,698631324314","243,674701168535","169,410059017737","78,8938705076786","36,0488846514487","81,7502028980939","207,822804957805","120,753914160317","54,1718211975321","51,8079599089125","53,3838674346589","43,534445398744","33,2910464813925","16,1530521389005","12,8042486466894","9,94791625627408","7,5840549676545","47,47421421311","92,4860729172412","38,905217041864","27,3813932598435","9,15996249340089","5,02320523831662","8,37200873052769","14,7741330538724","17,7289596646469","71,9992750825382","156,31032770997","247,81145842362","656,365484473371","676,458305426638","338,721623815115","172,56187406923","151,878087793808","309,074863487011","347,586103647438","526,254619378935","349,851470715698","187,139018682384","143,703067503999","318,136331760052","482,424691319113","184,08569785125","74,2646421507986","57,5206246897432","46,6862604502368","64,3167258945245","101,744529631001","97,8047608166353","57,7176131304615","46,0952951280819","35,6549077700121"
Extremadura,0,0,0,"0,094184662216128","4,70923311080637","80,0569628837083","42,6656519839057","30,4216458958092","13,8451453457707","2,7313552042677","0,847661959945147","1,41276993324191","2,63717054205157","3,57901716421284","8,5708042616676","26,1833360960834","62,067692400428","79,3976702481954","69,6024653777182","145,421118461701","132,329450413659","69,1315420666375","48,5992857035218","140,240962039814","335,579951476062","308,737322744466","63,0095390225893","11,2079748037192","11,7730827770159","28,067029340406","27,5961060293253","21,0031796741964","11,8672674392321","10,1719435193418","7,81732696393858","7,81732696393858","29,8565379225124","68,3780647689085","82,3173947768954","105,957744993143","36,2610949532091","12,9974833858256","11,113790141503","7,9115116261547","12,8091140613933","21,0031796741964","45,3028225259573","262,775207582995","540,996699769436","484,768456426408","290,653867598969","124,323754125288","199,67148389819","273,888997724499","182,435690712639","397,459274552058","418,179900239606","313,25818653084","227,550143914164","421,287994092738","448,884100122063","253,262556699167","119,991259663346","120,933106285508","71,3919739598246","50,7655329344927","66,3060022001537","57,3584592896216","40,7819587395832","35,2250636688317","29,8565379225124"
